3-4 https://steamcommunity.com/market/listings/730/MP5-SD | Co-Processor (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Desert Eagle | Directive (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/MP5-SD | Gauss (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/P250 | Re.built (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/SG 553 | Cyberforce (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/MAG-7 | Insomnia (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/SCAR-20 | Fragments (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Glock-18 | Weasel (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/Desert Eagle | Directive (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/MP5-SD | Liquidation (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/M4A4 | Urban DDPAT (Minimal Wear)
3-4 https://steamcommunity.com/market/listings/730/G3SG1 | Stinger (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Tec-9 | Rebel (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/SSG 08 | Ghost Crusader (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/SCAR-20 | Enforcer (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/MP9 | Featherweight (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Tec-9 | Brother (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/MAG-7 | Heat (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/R8 Revolver | Reboot (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/XM1014 | Zombie Offensive (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/MAG-7 | Monster Call (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/MAC-10 | Allure (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/XM1014 | Ziggy (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/CZ75-Auto | Red Astor (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/SG 553 | Darkwing (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/SG 553 | Phantom (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Galil AR | Rocket Pop (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/CZ75-Auto | Tacticat (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Sawed-Off | Apocalypto (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/Glock-18 | Weasel (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Dual Berettas | Royal Consorts (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/UMP-45 | Exposure (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Galil AR | Firefight (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/P250 | X-Ray (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/MP9 | Goo (Field-Tested)
3-4 https://steamcommunity.com/market/listings/730/Glock-18 | Moonrise (Well-Worn)
3-4 https://steamcommunity.com/market/listings/730/USP-S | Lead Conduit (Well-Worn)
